"SNo","InstituteType","InstituteName","Branch","Class","Gender","Category","MPDomicile","OpeningRank","ClosingRank"
18,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","S","OP","UR","Y",47493,50611
19,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","FF","OP","UR","Y",53522,53522
20,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","OP","OBC","Y",40796,54524
21,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","OP","UR","AI",42441,55952
22,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","OP","UR","AI",42862,57238
23,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","OP","EWS","Y",42019,57858
24,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","OP","UR","AI",34164,58520
25,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","F","OBC","Y",44711,58612
26,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","OP","UR","Y",27076,59289
27,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","S","OP","UR","Y",61282,61282
28,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","OP","OBC","Y",49670,61885
29,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","F","OBC","Y",60745,64492
30,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","F","UR","Y",40351,64505
31,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","OP","OBC","Y",56180,65407
32,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","OP","UR","AI",58051,65473
33,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","OP","UR","Y",41888,65716
34,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","OP","EWS","Y",44350,67648
35,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","OP","UR","AI",51052,67671
36,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","OP","UR","AI",60893,70010
37,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","OP","OBC","Y",44823,71003
38,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","F","UR","Y",63404,72182
39,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","F","OBC","Y",64880,72504
40,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","OP","UR","Y",45390,73921
41,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","OP","EWS","Y",58449,74248
42,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","OP","OBC","Y",66839,74758
43,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","OP","UR","AI",59449,75227
44,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","OP","UR","AI",70507,75460
45,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","OP","UR","AI",72257,76383
46,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","OP","UR","AI",71289,76876
47,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","OP","UR","Y",36576,77349
48,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","OP","EWS","Y",67967,78308
49,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","UR","AI",62951,80709
50,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","F","OBC","Y",68561,82383
51,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","F","UR","Y",38918,84067
52,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","OP","OBC","Y",75041,84510
53,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","OP","EWS","Y",76320,85672
54,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","M","UR","N",86163,86163
55,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","OP","UR","AI",82396,87998
56,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","OP","UR","AI",79208,88149
57,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","OP","UR","Y",67505,88751
58,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","S","OP","OBC","Y",89683,89683
59,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","F","OBC","Y",83869,90608
60,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","OP","UR","AI",75393,90933
61,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","OBC","Y",67862,91862
62,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","OP","OBC","Y",72498,92119
63,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","OP","UR","AI",76848,92310
64,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EL","X","OP","UR","AI",76890,93811
65,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","OP","EWS","Y",82364,94084
66,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","F","OBC","Y",66426,94484
67,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","EWS","Y",71273,94834
68,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","F","UR","Y",83699,97524
69,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","F","OBC","Y",70574,97958
70,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","F","UR","Y",89699,98281
71,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","UR","Y",41793,99007
72,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","OP","OBC","Y",73899,99021
73,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","FF","F","UR","Y",102281,102281
74,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","F","OBC","Y",96132,102464
75,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","F","OBC","Y",101608,102803
76,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","OP","UR","Y",70385,104469
77,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","OP","OBC","Y",91968,105654
78,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","OP","EWS","Y",91292,106580
79,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","OP","UR","AI",91959,108071
80,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","F","UR","Y",62034,109484
81,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","X","F","UR","Y",88319,109652
82,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","OP","UR","AI",82292,110958
83,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","OP","UR","AI",75809,111463
84,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","OP","UR","Y",67243,111909
85,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EEIOT","X","OP","UR","AI",106781,114560
86,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","S","OP","UR","Y",76593,114578
87,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","OP","UR","Y",61764,115818
88,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","OP","EWS","Y",89442,116952
89,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","OP","EWS","Y",82959,117389
90,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","OP","UR","AI",108508,122354
91,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","F","OBC","Y",101648,123583
92,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","NCC","OP","OBC","Y",124256,124256
93,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","OP","EWS","Y",70325,125092
94,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","F","UR","Y",101567,126195
95,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","S","OP","OBC","Y",126336,126336
96,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MECH","X","OP","UR","AI",115204,126960
97,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","SC","Y",57810,127528
98,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","F","OBC","Y",123682,127546
99,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","NCC","OP","UR","Y",129450,129450
100,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","OP","EWS","Y",108514,130414
101,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","S","OP","OBC","Y",130545,130545
102,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","S","OP","UR","Y",91436,131888
103,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","X","F","UR","Y",112523,132088
104,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","INOT","X","OP","UR","AI",122695,132169
105,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","OP","OBC","Y",71024,134355
106,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CHEM","X","OP","UR","AI",110684,134648
107,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","EC","X","OP","UR","AI",91640,134759
108,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","S","OP","OBC","Y",135753,135753
109,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","OP","UR","AI",77643,135967
110,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","OP","OBC","Y",87143,138326
111,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","OP","UR","Y",76186,138620
112,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","OP","UR","Y",89436,139074
113,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","OP","EWS","Y",104862,139526
114,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","F","OBC","Y",86475,142746
115,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","OP","UR","AI",137321,143475
116,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","NCC","F","UR","Y",144698,144698
117,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","NCC","OP","UR","Y",144766,144766
118,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","OP","OBC","Y",67664,145341
119,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","F","OBC","Y",139563,145383
120,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CE","X","OP","UR","AI",85788,146216
121,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","F","UR","Y",109304,146569
122,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","OP","OBC","Y",110352,146997
123,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","OP","UR","Y",103104,147319
124,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","F","UR","Y",105771,147403
125,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","H","OP","UR","Y",147856,147856
126,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","F","UR","Y",117694,150978
127,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","F","SC","Y",68147,151064
128,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","EE","X","OP","UR","AI",140111,152698
129,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","F","OBC","Y",97264,153900
130,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","S","F","UR","Y",155594,155594
131,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","OP","OBC","Y",101474,156605
132,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","F","UR","Y",108691,156730
133,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","SC","Y",132180,157698
134,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","OP","EWS","Y",124640,157811
135,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","S","OP","UR","Y",159580,159580
136,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","S","F","UR","Y",160092,160092
137,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","OP","EWS","Y",119941,160095
138,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","OP","UR","Y",109643,163946
139,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","S","OP","UR","Y",164368,164368
140,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","OP","EWS","Y",104420,164473
141,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIML","S","OP","UR","Y",167882,167882
142,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","X","F","OBC","Y",157988,169257
143,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","NCC","F","UR","Y",169522,169522
144,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","S","F","UR","Y",170607,170607
145,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IP","X","F","UR","Y",117962,171071
146,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BM","X","OP","UR","Y",80767,173489
147,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","OP","UR","Y",86008,173574
148,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","X","F","OBC","Y",140343,174186
149,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","F","OBC","Y",175730,176879
150,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","F","SC","Y",153520,180478
151,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","S","F","UR","Y",185099,185099
152,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","MECH","X","OP","UR","AI",144158,187215
153,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","X","OP","OBC","Y",123773,187822
154,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","S","OP","UR","Y",188045,188045
155,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","OP","UR","Y",138242,189256
156,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","S","OP","UR","Y",128592,194692
157,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSD","S","OP","OBC","Y",194725,194725
158,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","X","F","UR","Y",97021,196025
159,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","F","OBC","Y",199755,201428
160,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","OP","OBC","Y",174336,203613
161,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","OP","SC","Y",166854,203912
162,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EL","X","F","OBC","Y",125644,204267
163,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITIOT","S","OP","UR","Y",206029,206029
164,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","F","UR","Y",162718,208296
165,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","ITAIAR","S","OP","UR","Y",210756,210756
166,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","OP","EWS","Y",179270,214337
167,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","F","OBC","Y",146109,214459
168,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","S","OP","UR","Y",214486,214486
169,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EL","X","OP","EWS","Y",154800,214941
170,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","F","OBC","Y",136372,216002
171,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","F","OBC","Y",164201,216152
172,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","NCC","OP","SC","Y",219163,219163
173,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EEIOT","X","OP","EWS","Y",173017,225988
174,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","OP","EWS","Y",140873,227070
175,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","F","UR","Y",177552,227544
176,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","S","OP","UR","N",228978,228978
177,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","OP","EWS","Y",97493,229641
178,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","FF","OP","UR","Y",232110,232110
179,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","X","OP","OBC","Y",122903,237300
180,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CE","X","OP","UR","AI",171881,237532
181,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","F","UR","Y",211275,238818
182,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","IT","X","OP","UR","Y",186785,239350
183,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","OP","EWS","Y",183818,240810
184,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","ST","Y",122382,241222
185,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","F","OBC","Y",222712,245499
186,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","OP","SC","Y",167576,248167
187,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","OP","OBC","Y",158722,249926
188,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","F","SC","Y",190617,252347
189,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","F","SC","Y",192367,257159
190,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","F","ST","Y",109688,257929
191,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","S","OP","OBC","Y",264025,264025
192,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","FF","OP","UR","Y",265463,265463
193,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MAC","S","OP","UR","Y",266208,266208
194,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EE","X","F","SC","Y",204742,275502
195,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EL","X","F","UR","Y",133327,278323
196,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","OP","UR","Y",151979,279444
197,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","NCC","F","UR","Y",279483,279483
198,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","F","UR","Y",170955,285571
199,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","OP","SC","Y",164191,286083
200,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","Electronics and Telecommunications","S","OP","UR","Y",286218,286218
201,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","F","UR","Y",109745,287366
202,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","S","F","OBC","Y",288034,288034
203,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EL","X","OP","UR","Y",83274,290726
204,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EEIOT","X","F","UR","Y",90983,291581
205,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","F","SC","Y",203587,292221
206,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EEIOT","X","F","OBC","Y",219816,293513
207,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","OP","UR","Y",189439,293588
208,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","EC","X","OP","EWS","Y",212458,301756
209,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSE","H","OP","UR","Y",305669,305669
210,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","AIADS","X","OP","OBC","Y",164387,307323
211,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","OP","UR","Y",144701,310365
212,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","EI","X","F","SC","Y",261674,310443
213,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EEIOT","X","OP","UR","Y",112321,313916
214,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","OP","EWS","Y",221282,315149
215,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","S","OP","SC","Y",315344,315344
216,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","OP","OBC","Y",149387,317269
217,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","SC","Y",173193,317947
218,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","OP","UR","Y",196013,322748
219,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","CSE","X","OP","SC","Y",146155,325061
220,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","S","F","OBC","Y",327655,327655
221,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","EC","X","F","OBC","Y",250585,328146
222,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","ST","Y",220538,329025
223,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","OP","SC","Y",174038,330096
224,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","INOT","X","F","SC","Y",347878,347878
225,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","MECH","X","F","SC","Y",318477,351581
226,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CE","X","OP","ST","Y",128867,352745
227,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","AIAIDS","X","F","SC","Y",325844,359162
228,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","CSEBC","X","F","UR","Y",250712,359971
229,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","MECH","X","OP","EWS","Y",171296,364741
230,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","S","F","UR","Y",378822,378822
231,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","IT","X","F","SC","Y",333456,381989
232,"Government Aided","Samrat Ashok Technological Institute, Vidisha (1960)","INOT","X","F","OBC","Y",162584,383503
233,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","H","OP","OBC","Y",387477,387477
234,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","BEIL","X","F","OBC","Y",294381,392094
235,"Government Aided","Madhav Institute of Technology and Science, Gwalior (1957)","EE","X","OP","OBC","Y",110701,393820
